action,spot,forward,a,b,rho,rho_negative,m,m_negative,sigma,risk_free_rate,strike,is_up,quantity
update_basis,66048126750000,66041128900000,,,,,,,,,,,
update_svi,,,620000,42500000,243640000,true,11280000,false,84680000,35000000,,,
mint,,,,,,,,,,,63751465918456,true,222329959773
update_basis,65997340500000,65980797810000,,,,,,,,,,,
update_svi,,,590000,42530000,245010000,true,10280000,false,86260000,35000000,,,
mint,,,,,,,,,,,54346941631471,true,16391480286
update_basis,65997340500000,66398324110000,,,,,,,,,,,
update_svi,,,590000,42530000,245010000,true,10280000,false,86260000,35000000,,,
mint,,,,,,,,,,,60931898740180,false,91797020898
update_basis,66434632330000,66417925230000,,,,,,,,,,,
update_svi,,,570000,42600000,241730000,true,9580000,false,80970000,35000000,,,
mint,,,,,,,,,,,59941882534332,false,881398148555
update_basis,66425522050000,66403581030000,,,,,,,,,,,
update_svi,,,680000,43120000,210340000,true,11570000,false,79710000,35000000,,,
mint,,,,,,,,,,,61022031102035,false,991836662922
update_basis,66409405000000,66390971740000,,,,,,,,,,,
update_svi,,,650000,43290000,217620000,true,10580000,false,80120000,35000000,,,
mint,,,,,,,,,,,57773974990589,false,891046269983
update_basis,66394849270000,66367833870000,,,,,,,,,,,
update_svi,,,570000,42840000,236900000,true,9320000,false,82950000,35000000,,,
mint,,,,,,,,,,,54637292169007,true,178805545958
update_basis,66303302780000,66269058870000,,,,,,,,,,,
update_svi,,,540000,42890000,237580000,true,8420000,false,83840000,35000000,,,
mint,,,,,,,,,,,64469398180105,true,84601318793
update_basis,66303302780000,66311395860000,,,,,,,,,,,
update_svi,,,540000,42890000,237580000,true,8420000,false,83840000,35000000,,,
mint,,,,,,,,,,,55050071470486,true,137304553868
update_basis,66314917990000,66291162540000,,,,,,,,,,,
update_svi,,,550000,42870000,240090000,true,8880000,false,83960000,35000000,,,
mint,,,,,,,,,,,68241608948504,true,159270096415
update_basis,66314917990000,66291162540000,,,,,,,,,,,
update_svi,,,550000,42870000,240090000,true,8880000,false,83960000,35000000,,,
mint,,,,,,,,,,,63348891102456,false,474826163363
update_basis,66072641420000,66044995650000,,,,,,,,,,,
update_svi,,,720000,42700000,212350000,true,12970000,false,80510000,35000000,,,
mint,,,,,,,,,,,68972772087882,false,173117616109
update_basis,65930259540000,65902093770000,,,,,,,,,,,
update_svi,,,870000,42250000,194380000,true,16960000,false,77030000,35000000,,,
mint,,,,,,,,,,,61452403598205,true,87892472714
update_basis,66018461310000,65999603130000,,,,,,,,,,,
update_svi,,,620000,43250000,229850000,true,10410000,false,82350000,35000000,,,
mint,,,,,,,,,,,63387043798785,true,271220049820
